"",number,number,"",FALSE,08f9028a,"",https://www.wikidata.org/wiki/Q11563
"",natural number,natural number,"",FALSE,08f9028a/0beb02f8,"",https://www.wikidata.org/wiki/Q21199
"",positive number,positive number,"",FALSE,08f9028a/0fac0374,"",https://www.wikidata.org/wiki/Q3176558
"",negative number,negative number,"",FALSE,08f9028a/0ee60354,"",https://www.wikidata.org/wiki/Q200227
"",rational number,rational number,"",FALSE,08f9028a/0f38035b,"",https://www.wikidata.org/wiki/Q1244890
"",complex number,complex number,"",FALSE,08f9028a/0bbd02f9,"",https://www.wikidata.org/wiki/Q11567
"",real number,real number,"",FALSE,08f9028a/042901a5,"",https://www.wikidata.org/wiki/Q12916
"",even number,even number,"",FALSE,08f9028a/078701c7,"",https://www.wikidata.org/wiki/Q13366104
"",odd number,odd number,"",FALSE,08f9028a/027c0138,"",https://www.wikidata.org/wiki/Q13366129
"",function,function,"",FALSE,0f450367,"",https://www.wikidata.org/wiki/Q11348
"",injective function,injective function,"",FALSE,0f450367/12b903c2,"",https://www.wikidata.org/wiki/Q182003
"",surjective function,surjective function,"",FALSE,0f450367/17c40445,"",https://www.wikidata.org/wiki/Q229102
"",bijective function,bijective function,"",FALSE,0f450367/125203b6,"",https://www.wikidata.org/wiki/Q180907
"",partial function,partial function,"",FALSE,0f450367/0bd002ee,"",https://www.wikidata.org/wiki/Q1756942
"",continuous function,continuous function,"",FALSE,0f450367/17850458,"",https://www.wikidata.org/wiki/Q170058
"",holomorphic function,holomorphic function,"",FALSE,0f450367/1c1904a5,"",https://www.wikidata.org/wiki/Q207476
"",differentiable function,differentiable function,"",FALSE,0f450367/2acf05b5,"",https://www.wikidata.org/wiki/Q783507
"",linear function,linear function,"",FALSE,0f450367/08b6027c,"",https://www.wikidata.org/wiki/Q207643
"",monotone function,monotone function,"",FALSE,0f450367/0f960370,"",https://www.wikidata.org/wiki/Q194404
"",map,map,"",FALSE,027c013f,"",https://www.wikidata.org/wiki/Q11348
"",derivative,derivative,"",FALSE,16f30434,"",https://www.wikidata.org/wiki/Q29175
"",partial derivative,partial derivative,"",FALSE,16f30434/0bd002ee,"",https://www.wikidata.org/wiki/Q186475
"",cover,cover,"",FALSE,064e0220,"",https://www.wikidata.org/wiki/Q331481
"",open cover,open cover,"",FALSE,064e0220/044801b3,"",https://www.wikidata.org/wiki/Q41509136
"",algebra,algebra,"",FALSE,0b3802cf,"",https://www.wikidata.org/wiki/Q1000660
"",free algebra,free algebra,"",FALSE,0b3802cf/042101a3,"",https://www.wikidata.org/wiki/Q5500180
"",finitely generated algebra,finitely generated algebra,"",FALSE,0b3802cf/44a90734,"",https://www.wikidata.org/wiki/Q2835968
"",Boolean algebra,Boolean algebra,"",FALSE,0b3802cf/0aa902c1,"",https://www.wikidata.org/wiki/Q4973304
"",exterior algebra,exterior algebra,"",FALSE,0b3802cf/0f7c0373,"",https://www.wikidata.org/wiki/Q1196652
"",symmetric algebra,symmetric algebra,"",FALSE,0b3802cf/13b903de,"",https://www.wikidata.org/wiki/Q1052674
"",tensor algebra,tensor algebra,"",FALSE,0b3802cf/0918029c,"",https://www.wikidata.org/wiki/Q2296021
"",term algebra,term algebra,"",FALSE,0b3802cf/045401b9,"",https://www.wikidata.org/wiki/Q21998744
"",heterogenous algebra,heterogenous algebra,"",FALSE,0b3802cf/1a940474,"",https://www.wikidata.org/wiki/Q1616174
"",tiling,tiling,"",FALSE,08f90288,"",https://www.wikidata.org/wiki/Q214856
"",embedding,embedding,"",FALSE,120c03a0,"",https://www.wikidata.org/wiki/Q980509
"",scheme,scheme,"",FALSE,08b50276,"",https://www.wikidata.org/wiki/Q1155772
"",affine scheme,affine scheme,"",FALSE,08b50276/085e026a,"",https://www.wikidata.org/wiki/Q91435997
"",connected scheme,connected scheme,"",FALSE,08b50276/12a103b4,"",https://www.wikidata.org/wiki/Q1491995
"",Noetherian scheme,Noetherian scheme,"",FALSE,08b50276/15ed040e,"",https://www.wikidata.org/wiki/Q3475675
"",locally Noetherian scheme,locally Noetherian scheme,"",FALSE,08b50276/433b071e,"",""
"",reduced scheme,reduced scheme,"",FALSE,08b50276/0ba202dd,"",""
"",integral scheme,integral scheme,"",FALSE,08b50276/0f230357,"",""
"",separated scheme,separated scheme,"",FALSE,08b50276/12da03ba,"",""
"",irreducible scheme,irreducible scheme,"",FALSE,08b50276/1b9c048b,"",https://www.wikidata.org/wiki/Q1673182
"",normal scheme,normal scheme,"",FALSE,08b50276/0902028a,"",https://www.wikidata.org/wiki/Q7051829
"",quasi-compact scheme,quasi-compact scheme,"",FALSE,08b50276/24950538,"",""
"",scheme of finite type,scheme of finite type,"",FALSE,08b50276/271a0557,"",""
"",sheaf,sheaf,"",FALSE,063b0208,"",https://www.wikidata.org/wiki/Q595298
"",coherent sheaf,coherent sheaf,"",FALSE,063b0208/0ed90359,"",https://www.wikidata.org/wiki/Q906907
"",quasi-coherent sheaf,quasi-coherent sheaf,"",FALSE,063b0208/2a2a05a9,"",https://www.wikidata.org/wiki/Q61040808
"",group,group,"",FALSE,0677022e,"",https://www.wikidata.org/wiki/Q83478
"",reduced group,reduced group,"",FALSE,0677022e/0ba202dd,"",""
"",normal group,normal group,"",FALSE,0677022e/0902028a,"",https://www.wikidata.org/wiki/Q743179
"",abelian group,abelian group,"",FALSE,0677022e/0b0e02cd,"",https://www.wikidata.org/wiki/Q181296
"",commutative group,commutative group,"",FALSE,0677022e/1c0b04af,"",https://www.wikidata.org/wiki/Q181296
"",finite group,finite group,"",FALSE,0677022e/08b70280,"",https://www.wikidata.org/wiki/Q1057968
"",cyclic group,cyclic group,"",FALSE,0677022e/08ba0278,"",https://www.wikidata.org/wiki/Q245462
"",Galois group,Galois group,"",FALSE,0677022e/07d70260,"",https://www.wikidata.org/wiki/Q730384
"",topological space,topological space,"",FALSE,3f1206ca,"",https://www.wikidata.org/wiki/Q179899
"",vector space,vector space,"",FALSE,1f8004c0,"",https://www.wikidata.org/wiki/Q125977
"",ring,ring,"",FALSE,044a01b1,"",https://www.wikidata.org/wiki/Q161172
"",commutative ring,commutative ring,"",FALSE,044a01b1/1c0b04af,"",https://www.wikidata.org/wiki/Q858656
"",noncommutative ring,noncommutative ring,"",FALSE,044a01b1/2cdd05fa,"",https://www.wikidata.org/wiki/Q7049224
"",module,module,"",FALSE,08eb0287,"",https://www.wikidata.org/wiki/Q18848
"",finitely generated module,finitely generated module,"",FALSE,08eb0287/44a90734,"",https://www.wikidata.org/wiki/Q1340572
"",free module,free module,"",FALSE,08eb0287/042101a3,"",https://www.wikidata.org/wiki/Q1292333
"",projective module,projective module,"",FALSE,08eb0287/1773043c,"",https://www.wikidata.org/wiki/Q942423
"",injective module,injective module,"",FALSE,08eb0287/12b903c2,"",https://www.wikidata.org/wiki/Q2716519
"",simple module,simple module,"",FALSE,08eb0287/0906028b,"",https://www.wikidata.org/wiki/Q956233
"",semisimple module,semisimple module,"",FALSE,08eb0287/175c0439,"",https://www.wikidata.org/wiki/Q1485102
"",field,field,"",FALSE,06120205,"",https://www.wikidata.org/wiki/Q190109
"",finite field,finite field,"",FALSE,06120205/08b70280,"",https://www.wikidata.org/wiki/Q603880
"",algebraically closed field,algebraically closed field,"",FALSE,06120205/533c07e7,"",https://www.wikidata.org/wiki/Q1047547
"",perfect field,perfect field,"",FALSE,06120205/0bb002ea,"",https://www.wikidata.org/wiki/Q2997817
"",category,category,"",FALSE,0ebe035f,"",https://www.wikidata.org/wiki/Q719395
"",cartesian category,cartesian category,"",FALSE,0ebe035f/129203bb,"",https://www.wikidata.org/wiki/Q18205845
"",abelian category,abelian category,"",FALSE,0ebe035f/0b0e02cd,"",https://www.wikidata.org/wiki/Q318737
"",additive category,additive category,"",FALSE,0ebe035f/0e8d034b,"",https://www.wikidata.org/wiki/Q4681343
"",complete category,complete category,"",FALSE,0ebe035f/0f13035a,"",https://www.wikidata.org/wiki/Q4370335
"",cocomplete category,cocomplete category,"",FALSE,0ebe035f/16da042c,"",https://www.wikidata.org/wiki/Q47007889
"",finitely presentable category,finitely presentable category,"",FALSE,0ebe035f/552f081a,"",""
"",locally finitely presentable category,locally finitely presentable category,"",FALSE,0ebe035f/a11d0b2a,"",""
"",model category,model category,"",FALSE,0ebe035f/06440212,"",https://www.wikidata.org/wiki/Q1941896
"",set,set,"",FALSE,029a014d,"",https://www.wikidata.org/wiki/Q36161
"",empty set,empty set,"",FALSE,029a014d/06630230,"",https://www.wikidata.org/wiki/Q226183
"",non-empty set,non-empty set,"",FALSE,029a014d/11cd03a8,"",https://www.wikidata.org/wiki/Q10533491
"",open set,open set,"",FALSE,029a014d/044801b3,"",https://www.wikidata.org/wiki/Q213363
"",closed set,closed set,"",FALSE,029a014d/08b7027b,"",https://www.wikidata.org/wiki/Q320357
"",clopen set,clopen set,"",FALSE,029a014d/08b80282,"",https://www.wikidata.org/wiki/Q320369
"",countable set,countable set,"",FALSE,029a014d/12ee03be,"",https://www.wikidata.org/wiki/Q66707394
"",uncountable set,uncountable set,"",FALSE,029a014d/1c4304a1,"",https://www.wikidata.org/wiki/Q1128796
"",infinite set,infinite set,"",FALSE,029a014d/0f030357,"",https://www.wikidata.org/wiki/Q205140
